	Код	Артикул	Номенклатура	Остаток организации	Цена	Единица измерения	Валюта
	00000018244		125724 Фарбувальний пульв.Сата МінДжет 4ХВЛП 0,8ММ.УКТ ЗЕД 8424200090			Штука	
	00000017949		127399 Повітря-розподільче кільце для САТА мініДжет 4 ХВЛП (3 шт. в упак.).УКТ ЗЕД 8424900000			Штука	
	00000018193		127852 Пластикова пляшка RPS 1л для промивки пульверизатора.УКТ ЗЕД 3923301000			Штука	
	00000018207		130044 TORK ADVANCED   Рушники з центральною витяжкою MAXI рулон 2 шари, 370 листів,125м.УКТ ЗЕД 481			Штука	
	00000018148		130044 TORK ADVANCED   Рушники з центральною витяжкою MAXI рулон 2 шари, 370 листів,125м.УКТ ЗЕД 481			Штука	
	00000018127		130044 TORK ADVANCED   Рушники з центральною витяжкою MAXI рулон 2 шари, 370 листів,125м.УКТ ЗЕД 481			Штука	
	00000018469		130052 TORK  ADVANCED 420 Папір д/протир., блакитний  малий рулон  2 шари 255м ,750 листів, 34*23,5.			Штука	
	00000018616		130052 TORK  ADVANCED 420 Папір д/протир., блакитний  малий рулон  2 шари 255м ,750 листів, 34*23,5.			Штука	
	00000018555		130052 TORK  ADVANCED 420 Папір д/протир., блакитний  малий рулон  2 шари 255м ,750 листів, 34*23,5.			Штука	
	00000017624		130060 TORK ADVANCED 430 Папір для протираннч  великий рулон  2 шари, 340м ,1000 листів, 34*36,9.УКТ			Штука	
	00000018123		130062 TorK Advanced  Папір для протирання 430 малий рулон  2шари, 170м, 500 лист.УКТ ЗЕД 4818909000			Штука	
	00000018179		130062 TorK Advanced 430  Папір для протирання  малий рулон , 2 шари, 170м, 500 листів, 34*23,5,білі			Штука	
	00000018157		130062 TorK Advanced 430  Папір для протирання  малий рулон , 2 шари, 170м, 500 листів, 34*23,5,білі			Штука	
	00000018220		130062 TorK Advanced 430  Папір для протирання  малий рулон , 2 шари, 170м, 500 листів, 34*23,5,білі			Штука	
	00000018003		130062 TorK Advanced 430  Папір для протирання  малий рулон , 2 шари, 170м, 500 листів, 34*23,5,білі			Штука	
	00000017984		130062 TorK Advanced 430  Папір для протирання  малий рулон , 2 шари, 170м, 500 листів, 34*23,5,білі			Штука	
	00000017894		130062 TorK Advanced 430  Папір для протирання  малий рулон , 2 шари, 170м, 500 листів, 34*23,5,білі			Штука	
	00000018354		130062 TorK Advanced 430  Папір для протирання  малий рулон , 2 шари, 170м, 500 листів, 34*23,5,білі			Штука	
	00000017577		130062 TorK Advanced 430  Папір для протирання  малий рулон , 2 шари, 170м, 500 листів, 34*23,5,білі			Штука	
	00000018488		130062 TorK Advanced 430  Папір для протирання  малий рулон , 2 шари, 170м, 500 листів, 34*23,5,білі			Штука	
	00000018413		130062 TorK Advanced 430  Папір для протирання  малий рулон , 2 шари, 170м, 500 листів, 34*23,5,білі			Штука	
	00000018365		130062 TorK Advanced 430  Папір для протирання  малий рулон , 2 шари, 170м, 500 листів, 34*23,5,білі			Штука	
	00000018615		130080 TORK ADVANCED 440  Папір д/протир.блакит.велик.рул. 3 шари, 255м ,750 листів, 34*36,9, супер.			Штука	
	00000018030		133934 Ущільнююче кільце під шпиндель для фарбув.пульверизаторів САТА, крім САТА мініджет.УКТ ЗЕД 84			Штука	
	00000018031		133942 Ущільнювач штока повітряного клапана.УКТ ЗЕД 4016930090			Штука	
	00000018092		133991 Повітряна головка для фарб піст САТА мініДЖ.УКТ ЗЕД 8424900000			Штука	
	00000018091		134015 Повітряний манометр для СатаДжет 3000 Б.УКТ ЗЕД 8424900000			Штука	
	00000018619		134056 Шпіндель для фарб. пульв САТАджет.УКТ ЗЕД 8424900000			Штука	
	00000018570		1358059 Теростат-9320 Охра  310 мл. Герметик.УКТ ЗЕД 3214900090			Штука	
	00000017732		1358254 Терозон 5055 (250мл) Клей.УКТ ЗЕД 3506100098			Штука	
	00000018698		136960 Ущільнюючий набір Сата Джет 3000.УКТ ЗЕД 4016930090			Штука	
	00000018739		139964 САТА регулятор повітряного тиску для сата джет 3000,К1000,100.УКТ ЗЕД 8424900000			Штука	
	00000018203		140582 Ущільн. кільце для пульверів Сата Дж 1000.УКТ ЗЕД 3926909790			Штука	
	00000017523		143230 Повітрярозподільче кільце для Сата Дж 100.УКТ ЗЕД 8424900000			Штука	
	00000018204		143834 Ущільнююче кільце для САТА 2000,РП, 3000.УКТ ЗЕД 8424900000			Штука	
	00000018529		145185 Фарбувальний пул.Сата Дж 100 Б П  з бач 0,6л.УКТ ЗЕД 8424200090			Штука	
	00000018796		145201 Фарбувальний пул.Сата Дж 100 Б РП  1,8мм з бач .УКТ ЗЕД 8424200090			Штука	
	00000017723		145284 НабІр з/ч(сопло, голка) для Сата джет100 Б П.УКТ ЗЕД 8424900000			Штука	
	00000018313		145425 Набір з/ч(голка,сопло)Сата Джет 100Б ХВЛП 1,9.УКТ ЗЕД 8424900000			Штука	
	00000018088		145722  Фарбувальний.пул.Сата Дж 100 Б ХВЛП  1.7мм з бач. 0,6л.УКТ ЗЕД 8424200090			Штука	
	00000018685		149161 Дюза 1,3 до пульверизатора SATA jet 1000.УКТ ЗЕД 8424900000			Штука	
	00000009482		1500 шл.шк.3М			Штука	
	00000017569		1507386 Теростат-8597 Набір д/вклейки скла.УКТ ЗЕД 3506100098			Штука	
	00000018214		15438 Ущільнюючий набір для фарбувального пульверизатора САТАджет 2000, РП і КЛЦ.УКТ ЗЕД 4016930090			Штука	
	00000018495		15511 Клапан спускання конденсату для комб фільтр тонк очистки сер 100,200,300,400.УКТ ЗЕД 842139200			Штука	
	00000017975		16000 PPS Система приготув фарб: фільтр-200мк,ємн.-  0,65л ( стакан з кришкою ).УКТ ЗЕД 3923301000			Штука	
	00000017976		16001 Зміщувальний  бачок 0,6л з запорним кільцем.УКТ ЗЕД 3923301000			Штука	
